COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
AC120,International Business,209,,280,209,,,,8
AC137,Liberal Arts,252,,270,252,,,,8
AD101,"First Year Art & Design (Common Entry,portfolio)",#+matric,,#+matric,#+matric,,,,8
AD102,Graphic Design and Moving Image Design (portfolio),#+matric,,#+matric,#+matric,,,,8
AD103,Textile & Surface Design and Jewellery & Objects (portfolio),#+matric,,#+matric,#+matric,,,,8
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",#+matric,,#+matric,#+matric,,,,8
AD204,Fine Art (portfolio),#+matric,,#+matric,#+matric,,,,8
AD211,Fashion Design (portfolio),#+matric,,#+matric,#+matric,,,,8
AD212,Product Design (portfolio),#+matric,,#+matric,#+matric,,,,8
AD215,Visual Culture,320,,389,377,,320,,8
AD217,Illustration (portfolio),#+matric,,#+matric,#+matric,,,,8
AD222,Interaction Design (portfolio),#+matric,,#+matric,#+matric,,,,8
AL600,Software Design,104,,279,AQA,,,,6/7
AL601,Computer Engineering,112,,192,AQA,,219,,6/7
AL602,Mechanical Engineering,260,,424,AQA,,,,6/7
AL604,Civil Engineering,AQA,,244,AQA,,AQA,,6/7
AL605,Music and Instrument Technology,154,,306,AQA,,AQA,,6/7
AL630,Pharmacy Technician,295,,379,295,,,,6/7
AL631,Dental Nursing,298,,388,300,,298,,6/7
AL632,Applied Science,234,,434,234,,,,6/7
AL650,Business,207,,326,207,,,,6/7
AL660,Culinary Arts,112,,270,AQA,,AQA,,6/7
AL661,Bar Supervision,101,,241,AQA,,AQA,,6/7
AL663,Business (Sport and Recreation),120,,262,AQA,,AQA,,6/7
AL701,Computer Engineering with Network Infrastructure,216,,337,216,,,,6/7
AL702,Software Design with Artificial Intelligence for Cloud Computing,214,,338,214,,,,6/7
AL703,Software Design with Virtual Reality and Gaming,224,,337,216,,,,6/7
AL704,Computer Engineering,204,,403,204,,,,6/7
AL705,Software Design with Mobile Apps and Connected Devices,216,,337,216,,,,6/7
AL710,Mechanical Engineering,223,,337,223,,,,6/7
AL711,Mechanical Engineering and Renewable Energy,228,,369,228,,,,6/7
AL712,Automation and Robotics,252,,379,252,,,,6/7
AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),218,,402,218,,,,6/7
AL718,Music and Sound Engineering,216,,339,214,,,,6/7
AL721,Civil Engineering,233,,357,233,,,,6/7
AL730,Biotechnology,250,,402,250,,,,6/7
AL731,Veterinary Nursing,400,,456,400,,,,6/7
AL734,Pharmaceutical Sciences (Drug Development and Analysis),244,,359,244,,,,6/7
AL740,Exercise and Health Science,250,,367,250,,,,6/7
AL751,Digital Marketing,241,,318,241,,,,6/7
AL752,Business,225,,397,225,,,,6/7
AL761,Hotel and Leisure Management,208,,309,208,,,,6/7
AL763,Graphic Design (portfolio),781,,858,781,,,,6/7
AL764,Early Years Care and Education,260,,398,260,,,,6/7
AL765,Applied Social Studies in Social Care,280,,358,280,,,,6/7
AL801,Software Design with Virtual Reality and Gaming,303,,367,303,,,,8
AL802,Software Design with Artificial Intelligence for Cloud Computing,332,,382,332,,,,8
AL803,Software Design with Mobile Apps and Connected Devices,337,,360,337,,,,8
AL805,Computer Engineering with Network Infrastructure,333,,360,333,,,,8
AL810,Quantity Surveying,326,,352,319,,,,8
AL811,Civil Engineering,320,,432,320,,,,8
AL820,Mechanical and Polymer Engineering,308,,379,308,,,,8
AL830,General Nursing,442,,463,442,,,,8
AL832,Psychiatric Nursing,384,,399,387,*,384,,8
AL836,Nutrition and Health Science,334,,379,334,,,,8
AL837,Sports Science with Exercise Physiology,351,,384,351,,,,8
AL838,Biotechnology,307,,356,307,,,,8
AL839,Microbiology,325,,393,325,,,,8
AL840,Pharmaceutical Sciences,347,,403,347,,,,8
AL841,Athletic and Rehabilitation Therapy,430,,465,430,,,,8
AL842,Bioveterinary Science,313,,383,313,,,,8
