,COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
180,CR105,Chemical and Biopharmaceutical Engineering,443,,532,443,,,,8
181,CR106,Software Development,411,,463,411,,,,8
182,CR108,Mechanical Engineering,434,,509,434,,,,8
183,CR109,Structural Engineering,394,,423,394,,,,8
184,CR110,Automotive Business Management and Technology,311,,362,311,,,,8
185,CR112,Creative Digital Media,361,,430,361,,,,8
186,CR116,Computer Systems,332,,393,332,,,,8
187,CR121,Music at CIT Cork School of Music,912,,1078,868,,,,8
188,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,,1088,1088,,,,8
189,CR126,Popular Music: Drums at CIT Cork School of Music,801,,940,801,,,,8
190,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,768,,978,838,,768,,8
191,CR128,Popular Music: Keyboards at CIT Cork School of Music,840,,881,840,,,,8
192,CR129,Popular Music: Voice at CIT Cork School of Music,841,,966,841,,,,8
193,CR130,Musical Theatre at CIT Cork School of Music,505,,600,548,,518,,8
194,CR150,Business Information Systems,335,,391,335,,,,8
195,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#+matric,,#+matric,#+matric,,,,8
196,CR220,Fine Art at CIT Crawford College of Art and Design,#+matric,,#+matric,#+matric,,,,8
197,CR225,Photography with New Media,#+matric,,#+matric,#+matric,,,,8
198,CR300,Physical Sciences (Common Entry),282,,476,282,,,,7
199,CR305,Physical Sciences (Common Entry),282,,356,282,,,,8
200,CR310,IT Management,297,,339,297,,,,8
201,CR320,Biomedical Science - Offered jointly by CIT and UCC,565,,577,565,,,,8
202,CR325,Pharmaceutical Biotechnology,398,,440,398,,,,8
203,CR333,Nutrition and Health Science,402,,433,402,,,,8
204,CR335,Biological Sciences (Common Entry),420,,451,420,,,,8
205,CR340,Analytical Chemistry with Quality Assurance,251,,366,251,,,,8
206,CR360,Instrument Engineering,261,,388,261,,,,8
207,CR365,Environmental Science and Sustainable Technology,253,,341,253,,,,8
208,CR370,Agri-Biosciences,397,,453,397,,,,8
209,CR400,Accounting,316,,413,316,,,,8
210,CR420,Marketing,285,,346,285,,,,8
211,CR425,International Business with Language,298,,412,298,,,,8
212,CR430,Sport and Exercise Management,322,,407,322,,,,8
213,CR440,Montessori Education,288,,362,288,,,,8
214,CR500,Engineering (Common Entry),411,,465,411,,,,8
215,CR510,Sustainable Energy Engineering,320,,389,320,,,,8
216,CR520,Biomedical Engineering,444,,488,444,,,,8
