,COURSE TITLE
591,Sport and Exercise Science
592,Public Health Nutrition
593,History & Geography
594,Early Childhood Education and Care
595,Outdoor Education and Leisure
596,Early Childhood Education and Care
597,Culture and Environment
598,Applied Social Care
599,General Nursing
600,Psychiatric Nursing
601,Outdoor Education
602,History and Geography
603,Applied Social Care
604,Early Childhood Education and Care
605,Geography and Outdoor Education
606,"Furniture Design, Making and Technology - Common Entry"
607,Education (Design Graphics and Construction)
608,"Furniture Design, Making and Technology - Common Entry"
609,Business
610,Business Studies
611,Accounting and Finance
612,Computing Science
613,Communications and Media Production
614,Business Studies
615,Accounting & Finance
616,Business Studies - HRM
617,International Hospitality Management
618,International Hospitality Management
619,Computing
620,Business Studies
621,Accounting and Finance
622,Business Studies (HRM)
623,Law
624,Business Studies (Marketing)
625,Marketing
626,Business
627,Computing Science
628,Computing
629,Communications and Media Production
630,Music Production for Games (portfolio)
631,Design Communication (portfolio)
632,Communications
633,Film and TV Production
634,Photographic Media
635,Photography
636,Interior Architecture (portfolio)
637,Interior Design
638,Fashion Design (portfolio)
639,Fashion
640,Arts (Joint-Honours)
641,Arts (Psychology)
642,Arts (History)
643,Na Dána (Gaeilge agus Léann an Aistriúcháin)
644,Arts (Mathematics and Education)
645,Arts with Children`s Studies
646,Arts with Creative Writing
647,Arts with Film Studies
648,Arts with Human Rights
649,Arts with Performing Arts Studies
650,"Arts (Drama, Theatre and Performance Studies)"
651,Arts (Journalism)
652,"Arts (Child, Youth and Family: Policy and Practice)"
653,Arts (Children`s Studies)
654,Na Dána (Cumarsáid agus Gaeilge)
655,Applied Social Sciences
656,Arts (Arts with Data Science)
657,Arts (Digital Arts and Technology)
658,Arts (English and Media Studies)
659,Arts (Film and Digital Media)
660,Arts (Global Languages)
661,Arts (International)
662,Arts (Music)
663,Arts (History and Globalisation Studies)
664,"Government (Politics, Economics and Law)"
665,Education (Computer Science and Mathematical Studies)
666,Geography and Geosystems
667,Commerce
668,Commerce (International) with French
669,Commerce (International) with German
670,Commerce (International) with Spanish
671,Business Information Systems (Work Placement & Optional Int`l Study)
672,Commerce (Accounting) including optional Global Experience year
673,Commerce (Gaeilge)
674,Commerce (Global Experience)
675,Law and Business
676,Law (BCL)
677,Law (BCL) and Human Rights
678,Law and Taxation
679,"Law (BCL), Criminology and Criminal Justice"
680,"Business Studies (International Hotel Management, interview)"
681,"Commerce (International Hotel Management, interview)"
682,Science
683,Biomedical Science
684,Biotechnology
685,Environmental Science
686,Financial Mathematics and Economics
687,Marine Science
688,Environmental Health and Safety
689,Earth and Ocean Sciences
690,Biopharmaceutical Chemistry
691,Mathematical Science
692,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)"
693,Genetics and Genomics
694,Computer Science and Information Technology
695,Engineering (Undenominated)
696,Civil Engineering
697,Mechanical Engineering
698,Electronic and Computer Engineering
699,Biomedical Engineering
700,Project and Construction Management
701,Energy Systems Engineering
702,Electrical and Electronic Engineering
703,"Medicine (five year/six year course, HPAT required)"
704,Occupational Therapy
705,Speech and Language Therapy
706,Podiatric Medicine
707,General Nursing (Galway and Portiuncula)
708,Mental Health Nursing
709,Midwifery
710,Accounting and Finance
711,Business Studies
712,"Art and Design (Common Entry, portfolio)"
713,Fashion and Textiles for Product and Costume (portfolio)
714,Art and Design Teacher Education (portfolio)
715,Digital Marketing
716,Accounting and Finance
717,Marketing and Management
718,Law and Taxation
719,Accounting and Finance
720,Marketing and Management
721,Enterprise and Innovation
722,Sports Development and Coaching
723,Business with Computing
724,Software Development
725,Interactive Digital Media
726,Internet Systems Development
727,Internet Systems Development
728,Computer Networks and Systems Management
729,Construction Management
730,Property Valuation and Management
731,Quantity Surveying
732,Built Environment (Common Entry)
733,Civil Engineering
734,Civil Engineering Management
735,Interior Design
736,Applied Biology
737,Clinical Technology
738,Forensic and Pharmaceutical Sciences
739,Drug and Medicinal Product Analysis
740,Forensic and Pharmaceutical Sciences
741,Medical Technology
742,Music Technology and Production
743,Electrical Engineering
744,Electrical Engineering
745,Creative Broadcast and Film Production
746,Industrial Automation and Robotic Systems
747,Renewable and Electrical Energy Engineering
748,Electronic Engineering
749,Automobile Technology
750,Precision Engineering
751,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry"
752,Mechanical Engineering
753,Road Transport Technology and Management
754,Mechanical Engineering
755,Precision Engineering
756,Community Sport Development
757,Social Care Work
758,Business Studies with Travel and Tourism Management
759,Business Studies with Event Management
760,Business Studies with Sports Management
761,Community Development
762,Business
763,Business with Computing
764,Computing
765,Interior Design
766,Biotechnology and Biopharmaceutical Sciences
767,Creative Broadcast and Film Production
768,Music Technology and Production
769,Renewable and Electrical Energy Engineering
770,Industrial Automation and Robotic Systems
771,Electronic Engineering
772,Automotive Engineering and Transport Management
773,Business Studies in Beauty and Spa Management
774,Early Childhood Education and Care
775,Culinary Arts
776,Hospitality Supervision
777,Early Childhood Education and Care
778,Social Care Work
779,Environmental Science and Climate
780,Data Analytics and Cyber Security
781,Business
782,Business
783,Computing - Games Design and Development
784,Sports Strength and Conditioning
785,Sports Strength and Conditioning
786,Environmental Science
787,Environmental Science and Agriculture
788,Early Childhood Education and Care
789,Environmental Science and Agriculture
790,Game Art and Design (portfolio)
791,Creative Media and Design
792,Creative Media and Design
793,Digital Animation Production (portfolio)
794,Social Care Work
795,Early Childhood Education and Care
796,Business
797,Social Care Work
798,Early Childhood Education and Care
799,Arts
800,Law and Accounting
801,Performing Arts (audition required)
802,Criminal Justice
803,Law Plus
804,Psychology and Sociology
805,Journalism and Digital Communication
806,European Studies
807,Applied Languages
808,Business Studies (options)
809,International Business
810,Financial Mathematics
811,Technology Management
812,Food Science and Health
813,Product Design and Technology (portfolio required)
814,Aeronautical Engineering
815,Construction Management and Engineering
816,Sport and Exercise Sciences
817,Physical Education with concurrent Teacher Education
818,Languages with concurrent Teacher Education
819,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science)
820,Equine Science
821,Materials and Architectural Technology with concurrent Teacher Education
822,Materials and Engineering Technology with concurrent Teacher Education
823,Science with Teacher Ed (Physical Sciences with Chemistry and Physics)
824,Mathematics and Computer Science with concurrent Teacher Education
825,Architecture (portfolio requirement suspended)
826,Physiotherapy
827,Medicine  - Graduate Entry (GAMSAT required)
828,Psychology
829,Paramedic Studies (B/C1/C1 Provisional Drivers Licence)
830,Chemical and Biochemical Engineering
831,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical)
832,Electronic and Computer Engineering
833,Computer Science (Computer Systems/Games Dev/Mobile Comm Security)
834,Creative Media and Interaction Design (Digital Design/Music Media Tech)
835,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem)
836,Mathematics (Math Science/Maths and Physics/Economics and Maths)
837,Physics (Applied Physics or Mathematics & Physics)
838,General Nursing
839,Mental Health Nursing
840,Intellectual Disability Nursing
841,Midwifery
842,Equine Science
843,Business - Common Entry
844,Business - Accounting
845,Business
846,Sports Studies
