COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL,New,2020 EOS Portfolio
DK876,Early Childhood Studies,321,False,388,321,False,,False,8,321,
DK877,Midwifery,440,False,470,440,False,,False,8,440,
DK880,Health and Physical Activity,328,False,389,328,False,,False,8,328,
DK882,Agriculture (Award options),310,False,380,310,False,,False,8,310,
DK883,Science (Award options),300,False,370,358,False,321,False,8,300,
DK884,Sustainable Agriculture,nan,False,,,False,,False,8,,
DK885,Agri-Food Production,nan,False,,,False,,False,8,,
DK886,Biopharmaceutical Science,301,False,338,301,False,,False,8,301,
DK887,Environmental Science,330,False,589,330,False,,False,8,330,
DL701,Business - Applied Entrepreneurship,AQA,False,359,AQA,False,AQA,False,6/7,,
DL821,"English, Media and Cultural Studies",212,False,347,212,False,212,False,8,212,
DL822,Arts Management,235,False,337,229,False,229,False,8,235,
DL823,Business Management,237,False,325,235,False,,False,8,237,
DL825,Applied Psychology,379,False,434,379,False,,False,8,379,
DL826,Visual Communication Design,855,False,1024,855,False,,False,8,855,
DL827,Art,572,False,941,572,False,,False,8,572,
DL828,"3D Design, Modelmaking and Digital Art",538,False,920,506,False,,False,8,538,
DL829,Design for Stage and Screen (Costume Design),593,False,947,593,False,,False,8,593,
DL830,Design for Stage and Screen (Character Makeup Design),939,False,968,939,False,,False,8,939,
DL831,Design for Stage and Screen (Production Design),781,False,1026,781,False,,False,8,781,
DL832,Animation,920,False,1022,920,False,,False,8,920,
DL833,Photography,667,False,854,650,False,,False,8,667,
DL834,Film and Television Production,990,False,1040,990,False,,False,8,990,
DL836,Creative Computing,219,False,300,219,False,,False,8,219,
DL837,New Media Studies,201,False,316,201,False,,False,8,201,
DL838,Creative Music Production,754,False,972,754,False,,False,8,754,
DL839,Interaction and User Experience Design,683,False,990,683,False,683,False,8,683,
DL840,Digital Marketing,228,False,327,228,False,228,False,8,228,
DL841,English and Equality Studies,276,False,341,276,False,,False,8,276,
DN100,Architecture,510,False,541,510,False,,False,8,510,
DN120,Landscape Architecture,407,False,453,407,False,,False,8,407,
DN130,City Planning and Environmental Policy,390,False,432,407,False,400,False,8,390,
DN150,Engineering (Common Entry),520,True,565,531,False,521,False,8,520,
DN200,Science (options),533,False,567,533,False,,False,8,533,
DN201,Computer Science (Common Entry),510,False,542,510,False,,False,8,510,
DN230,Actuarial and Financial Studies,601,False,613,601,False,,False,8,601,
DN240,Sustainability,440,False,498,440,False,,False,8,440,
DN250,Agricultural Science (options),453,False,488,456,False,455,False,8,453,
DN252,Dairy Business,410,False,455,410,False,,False,8,410,
DN253,Agri - Environmental Sciences,413,False,443,418,False,,False,8,413,
DN261,Food Science,476,True,495,477,False,,False,8,476,
DN262,Human Nutrition,531,False,553,531,False,,False,8,531,
DN271,Forestry,311,False,359,311,False,,False,8,311,
DN272,"Horticulture, Landscape and Sportsturf Management",282,False,378,297,False,282,False,8,282,
DN300,Veterinary Medicine - Undergraduate Entry,589,False,602,589,False,,False,8,589,
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),#,False,,,False,,False,8,,#
DN310,Veterinary Nursing,466,True,489,478,False,477,False,8,466,
DN400,Medicine - Undergraduate Entry (HPAT required),736,True,748,737,False,736,True,8,736,
DN401,Medicine - Graduate Entry (GAMSAT required),58,True,61,,False,,False,8,58,
DN410,Radiography,531,True,543,534,False,532,True,8,531,
DN411,Radiography - Graduate Entry,#,False,,,False,,False,8,,#
DN420,Physiotherapy,568,False,589,578,False,577,True,8,568,
DN425,Health and Performance Science,507,False,521,510,False,509,True,8,507,
DN430,Sport and Exercise Management,433,False,455,455,False,445,False,8,433,
DN440,"Biomedical, Health and Life Sciences",589,True,601,590,False,589,True,8,589,
DN450,General Nursing,421,False,445,429,True,424,False,8,421,
DN451,Children`s and General Nursing (Integrated),499,False,529,509,False,506,False,8,499,
DN452,Midwifery,473,False,499,489,False,476,False,8,473,
DN453,Mental Health Nursing,393,False,412,397,False,393,False,8,393,
DN520,Joint Honours (options),310,False,409,310,False,,False,8,310,
DN530,Humanities (options),326,False,419,340,False,336,False,8,326,
DN541,Modern Languages (options),300,False,443,303,False,,False,8,300,
DN600,Law (options),543,True,566,546,False,544,False,8,543,
DN610,Business and Law,544,False,577,545,False,,False,8,544,
DN650,Commerce,521,True,543,521,True,521,True,8,521,
DN660,Commerce International (options),510,True,531,517,False,511,False,8,510,
DN670,Economics and Finance,613,False,625,613,False,,False,8,613,
DN700,Social Sciences (options),418,False,466,421,False,419,False,8,418,
DN710,Economics,498,True,510,498,True,498,True,8,498,
DN720,Psychology,522,True,543,530,False,522,True,8,522,
DN750,Social Policy and Sociology,377,False,408,378,False,,False,8,377,
DS602,Computing and Multimedia (Level 6 - Higher Certificate),198,False,367,,False,,False,6/7,198,
DS603,Computing and Multimedia (Level 6 - Certificate),423,False,523,,False,,False,6/7,423,
DS701,Business,299,False,299,,False,,False,6/7,299,
DS702,Computing and Multimedia (Level 7),290,False,413,,False,,False,6/7,290,
GA160,Business,163,False,278,163,False,163,False,6/7,163,
GA170,Business,250,False,420,250,False,,False,6/7,250,
GA171,Business Information Systems,250,False,367,250,False,,False,6/7,250,
GA172,Rural Enterprise and Agri-Business,277,False,382,277,False,,False,6/7,277,
GA174,Marketing and Sales,282,False,377,281,False,,False,6/7,282,
GA175,Finance,278,False,467,278,False,,False,6/7,278,
GA176,Business with Entrepreneurship,278,False,411,278,False,,False,6/7,278,
GA181,Accounting,309,False,403,309,False,,False,8,309,
GA182,Business,287,False,347,287,False,,False,8,287,
GA183,Business Information Systems,296,False,356,296,False,,False,8,296,
